"individual","group","observation","value"
"European Hedgehog","Eutheria","IGF2.plot",0
"Common Leopard Gecko","Squamates","IGF2.plot",0.45
"Little Greenbul","Aves","IGF2.plot",0.802
"Cat","Eutheria","IGF2.plot",0.34325
"Collared Flycatcher","Aves","IGF2.plot",0.6185
"European Pied Flycatcher","Aves","IGF2.plot",0.567
"Chicken","Aves","IGF2.plot",0.8975
"Long-nosed Leopard Lizard","Squamates","IGF2.plot",0.334
"Human","Eutheria","IGF2.plot",0.500666666666667
"Green Iguana","Squamates","IGF2.plot",0.463
"Southern Brown Bandicoot","Methatheria","IGF2.plot",0.902
"Mountain Hare","Eutheria","IGF2.plot",0.55975
"Bengalese Finch","Aves","IGF2.plot",0.016
"Grey Crested Tit","Aves","IGF2.plot",0.953
"Rhesus Macaque","Eutheria","IGF2.plot",0.364
"Diamondback Terrapin","Testudines","IGF2.plot",0.977
"Sunda Pangolin","Eutheria","IGF2.plot",0.92675
"Gray short-tailed oppossum","Methatheria","IGF2.plot",0.005
"Ghost-faced Bat","Eutheria","IGF2.plot",0.530666666666667
"House Mouse","Eutheria","IGF2.plot",0.000432432432432432
"House Mouse","Eutheria","IGF2.plot",5.12820512820513e-05
"Hairy-legged Myotis","Eutheria","IGF2.plot",0.383666666666667
"Chilean Tinamou","Aves","IGF2.plot",1
"Broad-eared Bat","Eutheria","IGF2.plot",0.0233333333333333
"Platypus","Monotreme","IGF2.plot",0.798
"Sheep","Eutheria","IGF2.plot",0.76075
"Yellow-bellied Tit","Aves","IGF2.plot",0.815666666666667
"Chinese Softshell Turtle","Testudines","IGF2.plot",0.804
"West African Mud Turtle","Testudines","IGF2.plot",0.981
"Long-nosed Bandicoot","Methatheria","IGF2.plot",0.963
"Rufous-vented Tit","Aves","IGF2.plot",0.918
"Lesser Dog-like Bat","Eutheria","IGF2.plot",0.580333333333333
"Marsh Tit","Aves","IGF2.plot",0.786
"Central Bearded Dragon","Squamates","IGF2.plot",0.993
"Black Flying Fox","Eutheria","IGF2.plot",0.1415
"Brown Rat","Eutheria","IGF2.plot",0.00075
"Egyptian Fruit Bat","Eutheria","IGF2.plot",0.007
"Tasmanian devil","Methatheria","IGF2.plot",0.916
"Eastern Fence Lizard","Squamates","IGF2.plot",0.907
"Little Brown Skink","Squamates","IGF2.plot",0.998
"Atlantic Canary","Aves","IGF2.plot",0.627
"Common Musk Turtle","Testudines","IGF2.plot",0.983
"Asian House Shrew","Eutheria","IGF2.plot",0
"Wild Boar","Eutheria","IGF2.plot",0.9805
"Mexican Free-tailed Bat","Eutheria","IGF2.plot",0.0433333333333333
"Asian Grass Lizard","Squamates","IGF2.plot",0.967
"Common Box Turtle","Testudines","IGF2.plot",0.987
"Sierra Garter Snake","Squamates","IGF2.plot",0.946
"Western terrestrial garter snake","Squamates","IGF2.plot",0.9735
"Red-eared Slider","Testudines","IGF2.plot",0.964
"Northern Treeshrew","Eutheria","IGF2.plot",0.708
"Brown Bear","Eutheria","IGF2.plot",0.53675
"Common Wombat","Methatheria","IGF2.plot",0.8805
"Sunbeam Snake","Squamates","IGF2.plot",0.955
"White-throated Sparrow","Aves","IGF2.plot",0.1785
